46045.7	46065.1	46306.4	46412.5	46138.7	
43077.3	43156.1	43175.3	43463.8	43227	
87725.3	87595.5	87693.9	87384.4	87796.7	
84945.9	85580	85703.5	85978.5	85549.3	
126474	126603	126955	126178	126954	
131212	131070	130925	131516	131539	
168686	167883	168320	168262	168569	
163049	163583	163415	163936	163706	
30745.1	30769.2	30656.6	30810	30836.9	
30463.4	30430.4	30318.4	30335.2	30491.2	
56498.6	56272.2	56511.1	56813.1	56270.9	
58584.4	58695	58670.4	58352.5	58552.9	
87665.7	88076.7	87559.2	87835.2	87769.6	
86831	86956.4	86740.8	87181	86973.2	
113049	112617	112930	112868	113075	
115929	115892	115700	115819	115631	
21234.8	21383.8	21339.3	21381.9	21260.6	
21208.2	21338.5	21214	21165.2	21283.2	
42580.8	42580.8	42580.8	42580.8	42580.8	
44468.3	44468.3	44468.3	44468.3	44468.3	
69287.6	69305.1	69679.8	69247.7	69364.8	
64693.2	64718.3	64833.5	64349.9	64426.4	
85639.7	85556.9	85781	85797.1	85366.4	
86232.6	86358.6	86547.2	85997.1	86453.4	
18388	18313.5	18402	18420.9	18315.7	
18790.1	18700.9	18869	18738.9	18671.2	
34941.1	34941.1	34941.1	34941.1	34941.1	
34938.4	34938.4	34938.4	34938.4	34938.4	
52846.8	52771	53153.9	52709.2	52726.2	
54635.2	54994.2	54510.9	55059.7	54925.3	
69325.8	69135.8	68902.7	69067	68782.6	
69416.3	70194.6	70043.8	69775.9	70243.4	
15056.2	15217.3	15139.6	15199.7	15171.2	
15438	15602.7	15536.5	15650.2	15479.7	
29105	29105	29105	29105	29105	
30376.7	30376.7	30376.7	30376.7	30376.7	
43657.4	43657.4	43657.4	43657.4	43657.4	
42631.2	42631.2	42631.2	42631.2	42631.2	
59731.6	59947.7	59917.6	59977.4	59777.7	
60074.4	59871.9	59921.6	60072.5	60060.3	
13300.2	13225	13228.9	13305.3	13216.2	
14006.9	13984.4	13999	13973.5	13950.6	
25103.3	25103.3	25103.3	25103.3	25103.3	
25864.7	25864.7	25864.7	25864.7	25864.7	
37280.8	37280.8	37280.8	37280.8	37280.8	
37604.9	37604.9	37604.9	37604.9	37604.9	
49012.5	49012.5	49012.5	49012.5	49012.5	
49886.9	49886.9	49886.9	49886.9	49886.9	
45978.9	45688.2	45705.1	45864.3	45972.8	
43522.8	43843.9	43522.9	43620.9	43620.3	
85356.8	85450.8	85416.1	85329.5	85363.4	
86064.8	86022	86212.3	86360.4	85968	
124699	124380	124969	125136	124806	
125695	125000	125742	125595	125443	
166859	166910	167518	167455	167418	
168328	167492	168985	168656	168467	
30591.8	30603.3	30744.4	30711.7	30635.6	
28454.4	28299.8	28448.9	28271.4	28347	
59101.1	59272.2	59216.8	59073	59340.1	
59215.4	59302.2	59096.9	59730.3	59176.2	
86197.3	86197.7	85579	86358.4	86092.4	
88523.2	88639.8	88239.4	88241.8	88602.3	
114869	114614	113957	114518	114202	
114931	114578	114448	114613	114755	
22188.7	22097.5	22208.4	22172.7	22229.1	
22485.7	22497.9	22326.9	22534.6	22453.9	
43670.4	43670.4	43670.4	43670.4	43670.4	
42248.3	42248.3	42248.3	42248.3	42248.3	
65197.7	64925.5	65043.3	64971.4	65261.6	
64372.4	64256.4	64758.9	64881.3	64429.9	
87055.2	86893.5	86491.8	86479.7	87131.4	
